plot,FT,subunit,tree,stem,family,spp,WD,D,H
192,FOM,S,1,1,Clethraceae,Clethra uleana,375.8,17.51,4.0
192,FOM,N,1,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.65,3.0
192,FOM,N,2,1,Solanaceae,Solanum pabstii,431.9,10.82,5.0
192,FOM,S,2,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,N,3,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.01,2.0
192,FOM,S,3,1,Dicksoniaceae,Dicksonia sellowiana,0.0,11.46,1.5
192,FOM,S,4,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,2.0
192,FOM,N,4,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,2.0
192,FOM,S,5,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.51,1.5
192,FOM,N,5,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.51,3.0
192,FOM,N,6,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.51,3.0
192,FOM,S,6,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,1.5
192,FOM,S,7,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,1.8
192,FOM,N,7,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.01,2.0
192,FOM,N,8,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,3.0
192,FOM,S,8,1,Clethraceae,Clethra uleana,375.8,15.92,5.0
192,FOM,N,9,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,2.0
192,FOM,S,9,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,4.0
192,FOM,S,10,1,Clethraceae,Clethra uleana,375.8,21.96,6.0
192,FOM,N,10,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.47,4.0
192,FOM,N,11,1,Dicksoniaceae,Dicksonia sellowiana,0.0,33.74,4.0
192,FOM,S,11,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,2.0
192,FOM,N,12,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,2.0
192,FOM,S,12,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.46,2.0
192,FOM,S,13,1,Cunoniaceae,Weinmannia humilis,474.1,25.46,7.0
192,FOM,N,13,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,2.5
192,FOM,S,13,2,Cunoniaceae,Weinmannia humilis,474.1,20.37,7.0
192,FOM,S,14,1,morta,morta,0.0,29.92,2.0
192,FOM,N,14,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,15,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.51,2.0
192,FOM,S,15,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,2.0
192,FOM,S,16,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,4.0
192,FOM,N,16,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,2.0
192,FOM,N,17,1,Clethraceae,Clethra uleana,375.8,18.14,2.0
192,FOM,S,17,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,1.4
192,FOM,S,18,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,1.4
192,FOM,N,18,1,Winteraceae,Drimys angustifolia,377.1,19.74,2.5
192,FOM,N,19,1,Clethraceae,Clethra uleana,375.8,20.05,3.0
192,FOM,S,19,1,Primulaceae,Myrsine coriacea,513.6,23.55,4.0
192,FOM,S,20,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.69,2.5
192,FOM,N,20,1,Winteraceae,Drimys angustifolia,377.1,21.33,3.0
192,FOM,S,21,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.10,4.0
192,FOM,N,21,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,N,21,2,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,S,22,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.24,1.5
192,FOM,N,22,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.92,2.5
192,FOM,S,23,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,4.0
192,FOM,N,23,1,Winteraceae,Drimys angustifolia,377.1,24.83,4.0
192,FOM,S,24,1,Lauraceae,Persea,465.1,9.87,5.0
192,FOM,N,24,1,Clethraceae,Clethra uleana,375.8,11.46,3.0
192,FOM,S,25,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,2.0
192,FOM,N,25,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,2.0
192,FOM,S,26,1,Dicksoniaceae,Dicksonia sellowiana,0.0,26.42,3.0
192,FOM,N,26,1,Clethraceae,Clethra uleana,375.8,13.37,4.0
192,FOM,N,27,1,Winteraceae,Drimys angustifolia,377.1,18.14,5.0
192,FOM,S,27,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,2.5
192,FOM,N,28,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,1.8
192,FOM,S,28,1,Dicksoniaceae,Dicksonia sellowiana,0.0,35.97,1.5
192,FOM,S,29,1,Dicksoniaceae,Dicksonia sellowiana,0.0,19.10,1.3
192,FOM,N,29,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,4.0
192,FOM,S,30,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,4.0
192,FOM,N,30,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,31,1,Clethraceae,Clethra uleana,375.8,14.01,3.0
192,FOM,S,31,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,2.0
192,FOM,N,31,2,Clethraceae,Clethra uleana,375.8,10.19,2.0
192,FOM,N,32,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,3.0
192,FOM,S,32,1,Clethraceae,Clethra uleana,375.8,19.74,4.0
192,FOM,S,33,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.47,1.6
192,FOM,N,33,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,3.5
192,FOM,N,34,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.51,2.0
192,FOM,S,34,1,morta,morta,0.0,22.92,1.6
192,FOM,N,35,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.55,2.5
192,FOM,S,35,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.83,3.3
192,FOM,S,36,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.69,3.0
192,FOM,N,36,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.55,3.0
192,FOM,N,37,1,Clethraceae,Clethra uleana,375.8,11.46,4.0
192,FOM,S,37,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.60,3.0
192,FOM,N,38,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.05,2.0
192,FOM,S,38,1,morta,morta,0.0,24.83,2.1
192,FOM,S,39,1,Dicksoniaceae,Dicksonia sellowiana,0.0,23.87,3.0
192,FOM,N,39,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.51,3.0
192,FOM,N,40,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.5
192,FOM,S,40,1,Winteraceae,Drimys angustifolia,377.1,14.01,3.0
192,FOM,N,41,1,Winteraceae,Drimys angustifolia,377.1,32.47,5.0
192,FOM,S,41,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.5
192,FOM,N,42,1,Clethraceae,Clethra uleana,375.8,13.37,5.0
192,FOM,S,42,1,morta,morta,0.0,21.33,1.5
192,FOM,N,43,1,Winteraceae,Drimys angustifolia,377.1,22.92,5.0
192,FOM,S,43,1,Araucariaceae,Araucaria angustifolia,480.0,77.99,27.0
192,FOM,N,44,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,3.0
192,FOM,S,44,1,Winteraceae,Drimys angustifolia,377.1,14.64,5.0
192,FOM,S,44,2,Winteraceae,Drimys angustifolia,377.1,22.92,6.0
192,FOM,S,45,1,Winteraceae,Drimys angustifolia,377.1,15.92,4.0
192,FOM,N,45,1,Clethraceae,Clethra uleana,375.8,14.32,4.0
192,FOM,S,45,2,Winteraceae,Drimys angustifolia,377.1,11.78,4.0
192,FOM,S,46,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.0
192,FOM,N,46,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.28,5.0
192,FOM,S,47,1,morta,morta,0.0,27.69,2.0
192,FOM,N,47,1,Clethraceae,Clethra uleana,375.8,16.87,6.0
192,FOM,N,47,2,Clethraceae,Clethra uleana,375.8,18.46,5.0
192,FOM,S,47,2,morta,morta,0.0,27.37,2.0
192,FOM,S,48,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.06,1.7
192,FOM,N,48,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,4.0
192,FOM,N,48,2,Dicksoniaceae,Dicksonia sellowiana,0.0,21.65,4.0
192,FOM,N,49,1,Dicksoniaceae,Dicksonia sellowiana,0.0,28.65,2.0
192,FOM,S,49,1,Winteraceae,Drimys angustifolia,377.1,21.01,5.0
192,FOM,S,49,2,Winteraceae,Drimys angustifolia,377.1,15.28,5.0
192,FOM,S,50,1,Dicksoniaceae,Dicksonia sellowiana,0.0,29.92,3.0
192,FOM,N,50,1,Dicksoniaceae,Dicksonia sellowiana,0.0,34.70,3.0
192,FOM,N,51,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,4.0
192,FOM,S,51,1,Dicksoniaceae,Dicksonia sellowiana,0.0,27.37,2.0
192,FOM,N,52,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,2.0
192,FOM,S,52,1,Winteraceae,Drimys angustifolia,377.1,11.46,3.0
192,FOM,S,53,1,Dicksoniaceae,Dicksonia sellowiana,0.0,35.33,5.0
192,FOM,N,53,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.56,3.0
192,FOM,N,54,1,Dicksoniaceae,Dicksonia sellowiana,0.0,15.60,1.5
192,FOM,S,54,1,Dicksoniaceae,Dicksonia sellowiana,0.0,35.01,3.0
192,FOM,N,55,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.24,2.5
192,FOM,S,55,1,Lauraceae,Persea,465.1,16.55,5.0
192,FOM,S,56,1,Winteraceae,Drimys angustifolia,377.1,17.19,4.0
192,FOM,N,56,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,5.0
192,FOM,N,57,1,Dicksoniaceae,Dicksonia sellowiana,0.0,17.51,1.8
192,FOM,S,57,1,Dicksoniaceae,Dicksonia sellowiana,0.0,18.14,1.8
192,FOM,S,58,1,Dicksoniaceae,Dicksonia sellowiana,0.0,22.28,3.0
192,FOM,N,58,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.33,2.0
192,FOM,S,59,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,2.0
192,FOM,N,59,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,60,1,Clethraceae,Clethra uleana,375.8,9.87,4.0
192,FOM,S,60,1,Dicksoniaceae,Dicksonia sellowiana,0.0,31.19,3.0
192,FOM,S,61,1,Dicksoniaceae,Dicksonia sellowiana,0.0,20.37,1.5
192,FOM,N,61,1,Cunoniaceae,Weinmannia humilis,474.1,19.10,3.0
192,FOM,N,62,1,Dicksoniaceae,Dicksonia sellowiana,0.0,21.96,2.0
192,FOM,S,62,1,Winteraceae,Drimys angustifolia,377.1,21.65,5.0
192,FOM,S,63,1,Winteraceae,Drimys angustifolia,377.1,23.55,5.0
192,FOM,N,63,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,1.2
192,FOM,S,64,1,Winteraceae,Drimys angustifolia,377.1,14.64,4.0
192,FOM,N,64,1,Dicksoniaceae,Dicksonia sellowiana,0.0,30.24,3.5
192,FOM,N,65,1,Lauraceae,Aiouea amoena,466.2,24.19,5.0
192,FOM,S,65,1,Celastraceae,Maytenus boaria,575.9,10.50,4.0
192,FOM,N,66,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.19,3.0
192,FOM,S,66,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.78,3.0
192,FOM,N,67,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.15,3.0
192,FOM,S,67,1,Dicksoniaceae,Dicksonia sellowiana,0.0,32.79,4.0
192,FOM,S,68,1,Dicksoniaceae,Dicksonia sellowiana,0.0,24.83,3.0
192,FOM,N,68,1,Clethraceae,Clethra uleana,375.8,20.37,4.0
192,FOM,S,69,1,Winteraceae,Drimys angustifolia,377.1,30.24,10.0
192,FOM,N,69,1,Araucariaceae,Araucaria angustifolia,480.0,29.60,10.0
192,FOM,S,70,1,morta,morta,0.0,22.28,1.4
192,FOM,N,70,1,Dicksoniaceae,Dicksonia sellowiana,0.0,25.46,3.0
