ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
1;Abarema jupunba;Fabaceae;Abarema;(Willd.) Britton & Killip;http://www.tropicos.org/Name/13000004;tree;0;0;1;0;0;1;0;1;0;1;1;884;381;292552043;8;47;1;3;0.05;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
2;Agonandra brasiliensis;Opiliaceae;Agonandra;Miers ex Benth. & Hook. f.;http://www.tropicos.org/Name/23400002;tree;0;0;0;0;0;0;0;0;0;0;1;326;130;109178199;8;4;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Agonandra silvatica;Opiliaceae;Agonandra;Ducke;http://www.tropicos.org/Name/23400013;tree;0;0;0;0;0;0;0;1;0;0;0;152;97;57766156;7;76;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Aiouea montana;Lauraceae;Aiouea;(Sw.) R. Rohde;http://www.tropicos.org/Name/100469825;tree;0;0;0;0;0;0;1;0;0;0;0;10;9;1418468;6;15;0;NA;NA;0;0;Least Concern;2020;NA;VU;CR;CR;CR;CR;CR;CR;CA;0
5;Albizia niopoides;Fabaceae;Albizia;(Spruce ex Benth.) Burkart;http://www.tropicos.org/Name/13007716;tree;1;0;0;0;0;0;1;0;1;1;1;37;16;12077155;7;8;0;NA;NA;0;0;Least Concern;2019;VU;VU;CR;CR;CR;CR;CR;CR;GS;0
6;Albizia subdimidiata;Fabaceae;Albizia;(Splitg.) Barneby & J.W. Grimes;http://www.tropicos.org/Name/13074797;tree;0;0;0;0;0;0;1;0;0;0;0;45;15;21261716;7;33;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Alchornea discolor;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800688;shrub/ tree;0;0;1;0;0;0;0;0;0;0;0;706;155;312218167;8;49;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;GS;0
8;Alchornea glandulosa;Euphorbiaceae;Alchornea;Poepp.;http://www.tropicos.org/Name/12800689;tree;0;0;0;1;0;0;0;0;0;0;0;144;50;44796751;7;65;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;EN;EN;WAN;0
9;Alchornea triplinervia;Euphorbiaceae;Alchornea;(Spreng.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800700;shrub/ tree;0;0;0;0;0;0;0;1;0;0;1;457;97;225566866;8;35;0;NA;NA;0;1;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
10;Alchorneopsis floribunda;Euphorbiaceae;Alchorneopsis;(Benth.) M<fc>ll. Arg.;http://www.tropicos.org/Name/12800705;tree;0;0;0;0;0;0;0;1;0;0;0;364;165;137910687;8;14;0;NA;NA;0;0;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
11;Alexa grandiflora;Fabaceae;Alexa;Ducke;http://www.tropicos.org/Name/13015568;tree;0;1;0;0;0;0;0;0;0;0;1;664;103;293952855;8;47;0;NA;NA;0;0;NA;NA;VU;EN;EN;EN;CR;CR;CR;CR;GS;0
12;Alexa imperatricis;Fabaceae;Alexa;(R.H. Schomb.) Baill.;http://www.tropicos.org/Name/13048944;tree;0;0;0;0;0;0;0;0;1;1;0;1564;38;418358227;8;62;0;NA;NA;0;0;NA;NA;NA;VU;EN;EN;EN;EN;EN;EN;GS;0
13;Alexa wachenheimii;Fabaceae;Alexa;Benoist;http://www.tropicos.org/Name/13015571;tree;0;0;0;0;0;0;0;1;0;0;1;26;8;2354669;6;37;0;NA;NA;0;0;Least Concern;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Allantoma decandra;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya Y.Huang & Prance;http://www.tropicos.org/Name/100143564;tree;0;1;0;0;0;0;1;0;0;0;0;495;160;160845746;8;21;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;VU;VU;VU;VU;WAN;0
15;Allantoma lineata;Lecythidaceae;Allantoma;(Mart. & O. Berg) Miers;http://www.tropicos.org/Name/17900367;tree;0;1;0;0;0;0;0;0;0;0;0;398;54;70136336;7;85;0;NA;NA;0;0;NA;NA;VU;VU;VU;EN;EN;EN;EN;CR;GS;0
16;Allantoma pluriflora;Lecythidaceae;Allantoma;(Ducke) S.A. Mori. Ya.Y. Huang & Prance;http://www.tropicos.org/Name/100143570;tree;0;0;0;0;0;0;0;0;0;1;0;40;21;19849955;7;3;0;NA;NA;0;0;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
17;Alseis peruviana;Rubiaceae;Alseis;Standl.;http://www.tropicos.org/Name/27900303;tree;0;0;0;0;0;0;1;0;0;0;0;40;5;38036813;7;58;0;NA;NA;0;0;NA;NA;NA;VU;NA;NA;NA;VU;NA;VU;WAN;0
18;Amaioua guianensis;Rubiaceae;Amaioua;Aubl.;http://www.tropicos.org/Name/27904166;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;1698;246;597122813;8;78;1;4;0.14;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
19;Amanoa guianensis;Phyllanthaceae;Amanoa;Aubl.;http://www.tropicos.org/Name/12802526;shrub/ tree;0;0;0;0;0;0;0;0;0;0;1;472;53;123992219;8;9;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
20;Ambelania acida;Apocynaceae;Ambelania;Aubl.;http://www.tropicos.org/Name/1800680;tree;0;0;0;0;0;0;0;1;0;0;0;614;235;116203873;8;7;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
21;Ambelania occidentalis;Apocynaceae;Ambelania;Zarucchi;http://www.tropicos.org/Name/1805467;tree;0;0;1;0;0;0;0;0;0;0;0;4;3;2088804;6;32;0;NA;NA;0;0;NA;NA;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
22;Amburana acreana;Fabaceae;Amburana;(Ducke) A.C. Sm.;http://www.tropicos.org/Name/13015575;tree;0;1;0;0;0;0;0;0;0;0;1;53;15;25233013;7;4;0;NA;NA;0;0;Vulnerable;1998;VU;VU;VU;EN;VU;EN;EN;EN;WAS;0
23;Ampelocera edentula;Ulmaceae;Ampelocera;Kuhlm.;http://www.tropicos.org/Name/33300106;tree;0;0;0;0;0;0;0;1;0;0;0;636;293;242553276;8;38;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;SA;0
24;Ampelocera ruizii;Ulmaceae;Ampelocera;Klotzsch;http://www.tropicos.org/Name/33300022;tree;1;0;0;0;0;0;0;0;0;1;1;265;57;138512034;8;14;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;EN;CR;CR;CR;CR;WAS;0
25;Amphirrhox longifolia;Violaceae;Amphirrhox;(A. St.-Hil.) Spreng.;http://www.tropicos.org/Name/33800557;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;407;102;192267255;8;28;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
26;Anacardium giganteum;Anacardiaceae;Anacardium;W. Hancock ex Engl.;http://www.tropicos.org/Name/1300075;tree;0;0;0;0;0;0;1;1;1;0;1;300;153;149674111;8;18;0;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
27;Anacardium occidentale;Anacardiaceae;Anacardium;L.;http://www.tropicos.org/Name/1300006;tree;1;0;0;0;0;0;0;1;0;0;0;12;6;1346560;6;13;0;NA;NA;0;0;Least Concern;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
28;Anacardium spruceanum;Anacardiaceae;Anacardium;Benth. ex Engl.;http://www.tropicos.org/Name/1300079;tree;0;1;0;0;0;0;0;1;0;0;1;310;145;63996295;7;81;0;NA;NA;0;1;NA;NA;NA;VU;VU;VU;VU;EN;EN;EN;GS;0
29;Anadenanthera peregrina;Fabaceae;Anadenanthera;(L.) Speg.;http://www.tropicos.org/Name/13015662;tree;0;0;1;0;0;0;0;0;0;0;0;9;5;6034613;6;78;0;NA;NA;0;0;Least Concern;2019;VU;VU;EN;EN;EN;CR;EN;CR;SA;0
30;Andira coriacea;Fabaceae;Andira;Pulle;http://www.tropicos.org/Name/13015685;tree;0;0;0;0;0;0;0;1;0;0;1;101;33;7307569;6;86;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
31;Andira inermis;Fabaceae;Andira;(W. Wright) Kunth ex DC.;http://www.tropicos.org/Name/13048538;tree;0;0;0;0;0;0;0;1;1;1;1;201;102;71169191;7;85;0;NA;NA;0;0;Least Concern;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
32;Andira macrothyrsa;Fabaceae;Andira;Ducke;http://www.tropicos.org/Name/13015696;tree;0;0;0;0;0;0;0;0;0;1;0;30;17;10833370;7;3;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
33;Andira parviflora;Fabaceae;Andira;Ducke;http://www.tropicos.org/Name/13015703;tree;0;0;0;0;0;0;0;0;0;0;1;135;60;43479905;7;64;0;NA;NA;0;0;Least Concern;2021;VU;VU;CR;CR;CR;CR;CR;CR;CA;0
34;Andira surinamensis;Fabaceae;Andira;(Bondt) Splitg. ex Pulle;http://www.tropicos.org/Name/13015710;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;200;81;42058172;7;62;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
35;Aniba burchellii;Lauraceae;Aniba;Kosterm.;http://www.tropicos.org/Name/17802523;tree;0;0;1;0;0;0;0;0;0;0;1;158;52;35846723;7;55;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;EN;EN;CR;EN;CR;CA;0
36;Aniba canelilla;Lauraceae;Aniba;(Kunth) Mez;http://www.tropicos.org/Name/17800123;tree;0;0;0;0;0;0;0;0;0;1;1;586;130;75571080;7;88;0;NA;NA;0;1;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
37;Aniba guianensis;Lauraceae;Aniba;Aubl.;http://www.tropicos.org/Name/17800524;tree;0;0;0;0;0;0;1;0;0;0;0;317;87;52718251;7;72;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
38;Aniba hostmanniana;Lauraceae;Aniba;(Nees) Mez;http://www.tropicos.org/Name/17800128;tree;0;0;1;0;0;0;0;1;0;1;1;178;92;65008780;7;81;0;NA;NA;0;0;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;CA;0
39;Aniba jenmanii;Lauraceae;Aniba;Mez;http://www.tropicos.org/Name/17800130;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;11;8;1695031;6;23;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
40;Aniba kappleri;Lauraceae;Aniba;Mez;http://www.tropicos.org/Name/17800131;tree;0;0;0;0;0;0;0;1;0;0;0;74;31;29291810;7;47;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
41;Aniba muca;Lauraceae;Aniba;(Ruiz & Pav.) Mez;http://www.tropicos.org/Name/17800134;tree;0;0;0;0;0;0;1;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;Least Concern;2021;NA;NA;EN;CR;EN;EN;CR;CR;WAN;0;NA
42;Aniba panurensis;Lauraceae;Aniba;(Meisn.) Mez;http://www.tropicos.org/Name/17800137;tree;0;0;1;0;0;0;1;1;0;1;0;163;66;69356080;7;84;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
43;Aniba parviflora;Lauraceae;Aniba;(Meisn.) Mez;http://www.tropicos.org/Name/17800138;tree;0;0;0;0;0;0;0;1;0;0;0;205;80;34281834;7;54;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
